n s phi1 d4_phi1 phi2 d4_phi2 phi3 phi4 phi5
116 1.16 0.018779367150467907 0.0003906160111077766 0.014636843925426052 0.00018054256045062792 0.021269119271822873 0.06486906574999035 -0.04877078807773118
117 1.17 0.018936032525247615 0.00038944530350220864 0.01475995322186121 0.00018015810162951912 0.021449901284035983 0.06542457933646834 -0.04918952737950061
118 1.18 0.019092571287856575 0.00038827756931658565 0.014882986961287682 0.00017977434185365972 0.0216306184459861 0.06597999678628091 -0.049608221836224334
119 1.19 0.019248982614679555 0.0003871128016119993 0.015005944613458805 0.00017939127994919893 0.02181127025015403 0.06653531725087308 -0.0500268710264012
120 1.2 0.019405265685984663 0.00038595099346494684 0.015128825649926347 0.00017900891474417345 0.02199185618978558 0.06709053988123742 -0.050445474527859316
121 1.21 0.019561419685910797 0.0003847921379672983 0.015251629544034286 0.0001786272450685048 0.02217237575888928 0.06764566382792148 -0.05086403191775518
122 1.22 0.01971744380245599 0.00038363622822626343 0.015374355770918807 0.0001782462697539964 0.02235282845223746 0.06820068824101927 -0.051282542772573755
123 1.23 0.01987333722746709 0.00038248325736435924 0.015497003807501242 0.0001778659876343304 0.02253321376536302 0.06875561227018445 -0.05170100666812698
124 1.24 0.020029099156627483 0.00038133321851937623 0.015619573132485763 0.00017748639754506482 0.02271353119456182 0.06931043506461265 -0.052119423179554175
125 1.25 0.020184728789444106 0.00038018610484434536 0.015742063226354575 0.00017710749832363067 0.022893780236892397 0.06986515577305652 -0.052537791881320295
126 1.26 0.02034022532923846 0.0003790419095075067 0.01586447357136548 0.00017672928880932932 0.02307396039017079 0.07041977354382534 -0.05295611234721717
127 1.27 0.02049558798313289 0.0003779006256922748 0.015986803651548025 0.00017635176784332865 0.023254071152973538 0.07097428752477253 -0.053374384150360776
128 1.28 0.020650815962041047 0.00037676224659720804 0.01610905295269649 0.0001759749342686612 0.023434112024638132 0.0715286968633096 -0.053792606863192136
129 1.29 0.020805908480654778 0.00037562676543597355 0.016231220962371375 0.00017559878693022043 0.023614082505256512 0.07208300070639911 -0.054210780057476274
130 1.3 0.020960864757434694 0.0003744941754373178 0.016353307169890995 0.00017522332467475828 0.023793982095682786 0.07263719820055392 -0.0546289033043013
131 1.31 0.021115684014596847 0.00037336446984503164 0.016475311066331724 0.00017484854635088222 0.023973810297523768 0.0731912884918468 -0.055046976174079235
132 1.32 0.02127036547810196 0.0003722376419179183 0.016597232144519518 0.000174474450809052 0.024153566613146493 0.07374527072589898 -0.055464998236542995
133 1.33 0.021424908377645102 0.00037111368492976314 0.01671906989903193 0.0001741010369015772 0.024333250545670704 0.07429914404788579 -0.055882969060748605
134 1.34 0.021579311946643365 0.0003699925921692978 0.016840823826188157 0.00017372830348261382 0.024512861598971675 0.07485290760254015 -0.05630088821507266
135 1.35 0.021733575422225315 0.00036887435694017164 0.01696249342404963 0.00017335624940816187 0.02469239927768077 0.0754065605341463 -0.056718755267212234
136 1.36 0.021887698045218784 0.0003677589725609175 0.017084078192417196 0.00017298487353606244 0.024871863087181617 0.07596010198654007 -0.057136569784184715
137 1.37 0.022041679060141373 0.00036664643236492 0.017205577632821788 0.0001726141747259942 0.025051252533609347 0.07651353110312131 -0.057554331332327055
138 1.3800000000000001 0.022195517715186575 0.00036553672970038385 0.017326991248526172 0.0001722441518394714 0.02523056712385463 0.07706684702683331 -0.057972039477295
139 1.3900000000000001 0.022349213262216894 0.00036442985793030264 0.017448318544518282 0.0001718748037398403 0.02540980636555837 0.07762004890018204 -0.058389693784062766
140 1.4000000000000001 0.022502764956748078 0.00036332581043242495 0.017569559027509736 0.0001715061292922768 0.02558896976711117 0.07817313586522956 -0.05880729381692208
141 1.41 0.02265617205794046 0.00036222458059922513 0.017690712205930645 0.00017113812736378308 0.025768056837656345 0.07872610706358657 -0.05922483913948186
142 1.42 0.022809433828588632 0.0003611261618378693 0.017811777589924346 0.0001707707968231851 0.02594706708708508 0.07927896163642695 -0.0596423293146687
143 1.43 0.022962549535108623 0.0003600305475701856 0.017932754691347585 0.00017040413654112953 0.026126000026038487 0.0798316987244761 -0.06005976390472381
144 1.44 0.023115518447527905 0.0003589377312326311 0.018053643023765026 0.0001700381453900814 0.026304855165905 0.0803843174680195 -0.06047714247120521
145 1.45 0.023268339839474406 0.0003578477062762614 0.018174442102442956 0.00016967282224432024 0.026483632018822117 0.08093681700689609 -0.06089446457498521
146 1.46 0.023421012988165457 0.00035676046616669863 0.018295151444351357 0.00016930816597993825 0.026662330097673548 0.08148919648050301 -0.06131172977625059
147 1.47 0.023573537174396364 0.0003556760043841003 0.018415770568153855 0.00016894417547483692 0.0268409489160914 0.08204145502779386 -0.06172893763450234
148 1.48 0.023725911682530854 0.0003545943144231278 0.01853629899420889 0.00016858084960872424 0.027019487988449303 0.08259359178728154 -0.06214608770855411
149 1.49 0.02387813580048842 0.0003535153897929151 0.01865673624456457 0.0001682181872631122 0.027197946829870034 0.08314560589703562 -0.06256317955653312
